index,id,News Headline Title,Label 1,Label 2a,Label 2b,Label 3,,Label 4a,Label 4b,Label 4c,Label 5,Label 6
650,2377045d75e4d1b2da0a8224cd78bce3b50e7545f2b86d41fdf8e145bb58cb27,"UN's 'Pact for the Future' full of empty promises, will be 'cudgel' to attack the United States, expert warns",S,None,None,None,None,VE,ES,None,None,Irrelevant
62,fe2fcdf9e9f5b6077b8eaf75f501751657a9ca86f595566f4444d176e55e351c,Inside West Bank district under harsh Israeli lockdown since Hamas attack,O,Indirectly,Directly,Hamas,Israel,VE,None,WC,War,Relevant
351,07323009149f1e01cb038d53231470513538d23ea211c2e8ee8ad824b2e5e186,Aid trucks enter Gaza after weeks as Israeli attacks continue across strip,O,Directly,Directly,Israel,Palestine,VE,None,WC,Peace,Relevant
828,878b94a7beaee23b8e8828199b637a783f74a4faadb0bb74cc12a3943b9334dd,"Shooter who killed NJ imam still on the loose, $25K reward offered for arrest",S,None,None,None,None,VE,None,BC,None,Irrelevant
492,963bdfef07bb02250571d6ce2f3950932d5eb3aa13f446dd40074406238bb0e0,"‘Israeli warning’: Beirut bombing sparks anger, fear in Lebanon",S,None,Directly,Israel,None,VE,None,WC,War,Relevant
118,f7ef280bd27ed5294ff9b6a00f546bcd0014f312a0f2edd1358aae45b152095b,Tributes for 'brave' British-Israeli father murdered in Hamas attack,S,Indirectly,Directly,Hamas,Israel,VE,None,WC,Peace,Relevant
12,05544aaddf8fc71f4237da553f9ee2d578de8472488bce2e19c48ed97cc2bc0b,Pope says democracy ‘not in good health’ as he warns against populists,S,None,None,None,None,IE,ES,None,None,Irrelevant
408,dbe114d03a474c271b1d03a3550d424a413fa7274761eed3ca509ed0d055781b,Israel bombards Gaza’s Rafah as ground offensive looms,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
443,be0d9ae6ed9379e5c465dd50ca91b29f8d94321c15fd5e53701434f08d0290c8,What are the prospects for talks to end Israel’s war on Gaza?,O,None,None,None,None,None,None,BC,Peace,Relevant
200,dcbd7e6806b548f22c4528b93b9926593bbf62f32137c2649a9858d4a1b1f30f,I thought just kill me quickly': Gaza hostage's 54 days in captivity,S,Directly,None,None,Palestine,IE,PS,WC,Peace,Relevant
299,529bcdab9b94f5fe415562b9923dd97fe21c4e11cf4e0bce04ae731601b3ed74,Israeli attacks kill over a dozen people as war on Gaza enters 12th month,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
304,3a89b1d19860c22c064614c11797f6d9cbc5a216554df58c59c0fe626b307d56,Israeli army and settler attacks against Palestinians in West Bank increase,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
751,5e2edae2f7260cfcc7330ecfb6eb6aaef1b2093ac3d382f0a28ee183f58dde8a,John Fetterman to receive top Jewish college's highest award for his stance on Israel,O,None,None,None,None,IE,ES,BC,Unclear,Relevant
267,680fc91b9e11ff994ea45fb0d0f8e2e97d5d1f6942dcaafd1fd495116ad73a6a,"UK ban on selling arms to Israel would strengthen Hamas, says Cameron",O,None,None,None,None,IE,ES,BC,Unclear,Relevant
688,2dcd3ae03b3646d86be07b5340bebda9aa874a93bbef9561c588b64e988f4522,Iranian official who reportedly helped Hamas plan Israel attack is seen shaking hands with UN aid leader,O,Directly,Directly,Hamas,Israel,IE,ES,BC,War,Relevant
266,c49f196d8ebedf8d01fd855699b2f66ff9e048a9abbae4306187535834914257,Bowen: Tough choices for Netanyahu after Hamas upends expectations,O,Directly,Directly,Hamas,Israel,IE,ES,WC,Unclear,Relevant
249,fcce4672687184dbb7eb2ba2d27d55be42e091f968ad9956bf423a2bbd518bbd,Russian arms depot erupts after a Ukrainian drone attack,S,None,None,None,None,None,None,None,None,Irrelevant
612,b13fbf9b52d622953302d885231712bb9e1866a2317c7ab891706d03ebcd137a,Iran will attack Israel if Gaza ceasefire talks collapse: report,S,Directly,None,None,Israel,VE,None,WC,War,Relevant
577,3a339d20bbd9d21bedb0d123c07bbd8021942208ab70503fed37c3c5b521661b,Israel is repeating its Gaza assault in Lebanon. Why?,S,None,Directly,Israel,None,VE,None,WC,War,Relevant
337,980382c9ab8cd5df8e388d802ff4ab68d21c45752ab8ce1b95d17061ccaa0433,What’s blocking a ceasefire in Israel’s war on Gaza?,O,None,None,None,None,VE,None,WC,Peace,Relevant
453,00e5bf005e56779506ec45ddd537cef081da69560c8a8af8fb54b112a3539a12,UN experts say grounds to believe rape occurred in Hamas attack on Israel,O,Directly,Directly,Hamas,Israel,VE,ES,BC,War,Relevant
251,eefb9cc4a6fbfdd2502d8bef03730c35956048705d52a2ef31046f63e1411e70,Israel conducts more airstrikes on Hezbollah targets,O,None,Directly,Israel,None,VE,None,WC,War,Relevant
482,5697dfeaa8b2700871861f50842843201aae12b0abb8fd3df5393fa22a7bde6b,"UN experts warn of Israeli violations against Palestinian women, girls",O,Directly,Directly,Israel,Palestine,VE,ES,BC,Peace,Relevant
817,d0fdf30416a246b133fb07ddc4d1b23f6071fa8fd03af1e781f7e93025479384,BBC Chair denies plea from 200 Jewish staffers calling for formal probe into antisemitism at the newsroom,O,None,None,None,None,IE,ES,BC,Unclear,Relevant
585,26694b16f95ef455998d3c42d4fd9497788e29e6cefa3ea66cbe7034e34106ea,‘Disastrous failure’: How Biden emboldened Israel to attack Lebanon,S,None,Directly,Israel,None,IE,ES,BC,War,Relevant
643,5a4c2cbe79000945f11effa40793c5234b6df056710d9c612f491a141abf006a,"Crisis in California: Hamas-style attack could happen to us, border mayor warns as migrant surge continues",S,None,None,None,None,IE,PS,BC,War,Relevant
261,0aca1e6ed8be5c5e6c79fab136e01306529bd1a5ac1f63ecd447d30a0309103b,US university Gaza protests intensify,O,None,None,None,None,IE,None,BC,Unclear,Relevant
706,61bf6360facb2620cd15fefcb19d19347716a59a0067e17dbda54425181b9a62,Iraqi air base housing U.S. troops attacked with rockets amid escalating tensions in Middle East: report,O,None,None,None,None,IE,None,BC,War,Relevant
97,07a2857726382ebcfbd51c039b1b0da1ae041a82fe22e40ad7b2d06bd448f04b,Tanzanian students taken hostage by Hamas in Gaza named,O,None,Directly,Hamas,None,VE,PS,WC,War,Relevant
538,d155d61e50fc3bf7c5622c2f3249ca142f35a3dcf768ebd8d6b3f800e8668204,Israel’s war on Gaza: The view from China,O,Directly,Directly,Israel,Palestine,None,None,BC,None,Relevant
364,5898d4c5774e9b5684a6eeceec32c8412d3a63450a2b2a0607c14078631c386d,"Gaza has lost 61 percent of jobs due to Israel-Hamas war, UN agency says",O,Directly,None,None,Palestine,IE,ES,BC,Peace,Relevant
593,14fe9dbea4c5763dcaced3de515ecadf5bb15df2d6ed85fc41c697a4e92f5b15,Israel white phosphorous attacks on Lebanon harming people and ecosystem,O,None,Directly,Israel,None,VE,None,WC,War,Relevant
320,b029b4922fbd7b508dce4bae1b4d2967cdd178792cf069e1f1136b5ff1e85bb4,Israeli minister challenges Netanyahu over Gaza’s post-war future,S,None,None,None,None,IE,ES,BC,Peace,Relevant
830,aeec358a661cdce6528b1a96736456c4c5abf5bc4b41a28aaeb3cb2aa9d849e2,Yemen's Houthis claim responsibility for striking Norwegian tanker Strand in latest attack,O,None,None,None,None,VE,ES,None,None,Irrelevant
85,254019a69474ba686575ff91120aca4ae5e7d9ed5280777231c1f27fd9f75453,Gaza war: Hopes for ceasefire falter ahead of Ramadan,O,Directly,None,None,Palestine,IE,None,WC,Peace,Relevant
884,ea8c532cf136397163ceacd9ca9d607d98547a3f755120ed1cfba36186ae405c,"Hezbollah relies on 'sophisticated' tunnel system backed by Iran, North Korea in fight against Israel",S,None,None,None,None,None,None,BC,War,Relevant
729,85979de7c8801077466d9ec46be09256ce48957db400b7faa9ccc97726ca5265,"Biden administration warned Iran before ISIS attack Jan. 3, US official says",O,None,None,None,None,IE,ES,BC,Unclear,Relevant
193,a67cfb0c0c8a047028dd317e02faf160fa3a61c316946fc374d130ebecf95956,Biden appoints CIA chief to broker Israeli hostage deal,O,Directly,None,None,Israel,VE,ES,BC,Peace,Relevant
656,ec65839060aa46229da50ee7dd6bfb3e674169026a7e24669398314a95b4796f,"Biden officials rebel against president on Israel-Hamas war, sign dissent letter",O,None,None,None,None,IE,ES,BC,None,Relevant
831,7394e2caa1d5360994c7e88e7fbf17cf5d1c1059003292cdd572628a3e778bd9,Trump expected to slam Harris on 3rd anniversary of deadly Afghanistan attack that killed 13 Americans,S,None,None,None,None,None,ES,None,None,Irrelevant
462,ec7074123a74f6d73c533f5e293de1cd073f3810b12a26b9bc26dcb9e6777d4a,Israel steps up ground and air attacks in Shujayea as Gaza death toll rises,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
331,23dff43676de5236e01bf46d3206584a218480e4f0a629445a0e3e32e76ae738,ICC prosecutor seeks arrest warrants for Israeli and Hamas officials,O,None,None,None,None,IE,ES,BC,Peace,Relevant
686,6964ae54e12013bb45795b7d356c74e9e38872b3265eeaeba2fefeb04c453b55,Israeli military sees Hamas war lasting through all of 2024: report,O,None,None,None,None,IE,None,WC,War,Relevant
52,b8cf3fbb3291e20dd96d6f0aee715d50b03344575d54ba9a40984b967feb6ad6,Israel Gaza: Antisemitic incidents 'triple in UK' since Hamas attack,S,None,Directly,Hamas,None,IE,None,BC,Unclear,Relevant
832,b76e1c6a9143384dfdd4485d783308ae9f251bab1d0780b2e4ce9f8245a7833c,Top Obama official's attack on Biden's foreign policy failures resurfaces after 3 US soldiers killed,O,None,None,None,None,VE,ES,None,None,Irrelevant
854,7be72798374bfaae1464514735ee49d47e14f7ec0159925687d4a152e8dc578f,Israel confirms strike on compound in civilian area of Gaza targeting Oct. 7 mastermind,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
500,0dfa52fbbf4425b45cc6a5abbb6b73c63f14d64bd19ebd09d511c28f32579f36,Biden says Netanyahu not doing enough to secure Gaza ceasefire deal,S,None,Directly,Israel,None,VE,ES,BC,Peace,Relevant
418,ad3732317efdaccbeaa50eca5bf69dc6a9eb80da6ece072f3a9fff116350e1c9,Amnesty calls for war crimes probe over Myanmar military bombing of church,O,None,None,None,None,None,None,None,None,Irrelevant
413,7f37a65f799ec91c88fdbb59417dd252d65f6b78b3bc8a35668d898b13565b94,"Hamas, Israel leaders suggest deal is ‘close’ on captives, Gaza truce",O,None,None,None,None,IE,ES,WC,Peace,Relevant
743,c69b9dccb6d507c30540091903d6b4e64be8a8e037b73bfbfec7d3ee16869432,"3 years after US withdrawal from Afghanistan, Israel looks to lessons learned from War on Terror",O,None,None,None,None,IE,None,BC,Peace,Relevant
620,509d5363b581a63f6bc70bd776f0e1ade981e4701ca1009b195d91b913c5b174,"Brazilian president compares Israel-Hamas war to Holocaust, Netanyahu says he crossed a line",S,None,None,None,None,IE,ES,BC,War,Relevant
367,bc1ab8f10cfa93721e44ff866359698ef5e2a2f3a39c543287448ead2df3109a,"Israel detains, expels to West Bank hundreds of Gaza Palestinian workers",S,Directly,Directly,Israel,Palestine,IE,None,WC,War,Relevant
848,f0ad5146392fb4ce35bf0afc804786da0a1285a2890d7e9844af7c4961a1fa07,Hamas survivor refutes progressives downplaying terrorists' sexual violence,O,None,Directly,Hamas,None,IE,PS,BC,War,Relevant
864,4766375890b55de99578df33c7a063819e3e5db55a9b5fffa3193708f5b35f78,An absolute disgrace': Senate Republicans condemn Palestinian Authority's UN bid to undermine Israel,S,None,None,None,None,IE,ES,BC,Peace,Relevant
395,caabb5596d4e3159f89c30a64b19dec708786e62e26e82f02ce54199324e0c58,Palestinians ‘starving’ in northern Gaza as Israel presses assault,S,Directly,Directly,Israel,Palestine,IE,PS,BC,Peace,Relevant
231,eecee0231f7fdad704796edb1ca3f55235f84de33a99d21f74ecf8cf052a3ac8,Washington ramps up the search for a ceasefire in Gaza,O,None,None,None,None,IE,ES,BC,Peace,Relevant
311,9f5e5db054f100339bcf752b19e6a0da53d3a8cd9b256f8847608a9ab48ecbeb,What’s happening in Gaza’s Rafah as Israel threatens to attack?,S,Indirectly,Directly,Israel,Palestine,VE,None,BC,Unclear,Relevant
338,af6cc298d88085fef3a75a694152bf785851411118b69176b2db5c0fea0a5d0f,UCLA anti-Gaza war protesters vow to press on after arrests,O,None,None,None,None,IE,PS,BC,Peace,Relevant
489,2c4192a2108e1c4a633720e953bbb510a4254556d2ece4a693ecc8ccd30a07d8,Crossbow assailant killed after attack at Israel embassy in Serbia,O,Directly,None,None,Israel,VE,PS,WC,War,Relevant
846,eb8f039e61098d3d497dc217ba95257d059ee38e134b7a7e8fe61016435812f0,"Trump, Biden supporters sharply divided over 'culture war' and 'woke' issues: Here's where they stand",S,None,None,None,None,None,ES,None,None,Irrelevant
813,a5ffa3532751a986ca2f47d104f2afd0fe2cecaf9b0b7df2396cc591d6ec34cf,"Jon Voight says daughter Angelina Jolie's stance on Israel, Gaza has been 'influenced by antisemitic people'",S,None,None,None,None,IE,ES,BC,Unclear,Relevant
627,5874bd4bc398523becce7f5e9743b11d1b0e0f02b3a136a2bce46b0bfea85f07,"Turkey’s Erdogan, on Israel-Hamas war, says West is ‘too weak to even call for a cease-fire’",S,None,None,None,None,IE,ES,BC,Peace,Relevant
346,9a66f235860c8bbab0d9ed5bf6356fbda4d42264f17bd5ffd3e32a2cbf2c611c,Israeli military kills four in drone attack in occupied West Bank,O,Indirectly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
406,cb04b1333c3477ea2ca0fe95fd2f4e0f80804c2f3b62a46e92ac0793aa6f64ef,Photos: The staggering human toll of Israel’s war on Gaza,O,Directly,Directly,Israel,Palestine,VE,None,WC,Peace,Relevant
655,ab7f73c5a8eb022e59f9b26e5628e5f63c1eca814e67b1c1271b6ea93a4602ad,"US ally Jordan rocked by pro-Hamas, Muslim Brotherhood protests over Gaza war",O,None,Indirectly,Hamas,None,IE,ES,BC,War,Relevant
240,3233c1bd7673e6374edf92ccbaf3aa63d991e9efad683135dba4c758c0af3d88,Red Sea: UK defence secretary says British forces will repel Houthi attacks,O,None,None,None,None,VE,ES,None,None,Irrelevant
513,0f7f63ed6338e028b87e2fec9cb4ab7f55193dac99cab4d175f135dc2dbdb4c5,"Israel’s war on Gaza: List of key events, day 125",O,Directly,Directly,Israel,Palestine,None,None,BC,None,Relevant
567,f04d38f40be877357981d40f215a2bcf62fe126f7039709afd0eae89171964b2,Turkey restricts exports of 54 products to Israel until Gaza ceasefire,O,Directly,Directly,Israel,Palestine,IE,ES,BC,Peace,Relevant
397,387563636f30d1e45c1976f04b706169e82e87fc37ed0b75c66809ca4180cc6e,Israeli forces arrest 28 Palestinians in raids in occupied West Bank,O,Directly,Directly,Israel,Palestine,VE,None,WC,War,Relevant
278,f6e599d83dcd5c44ab76cb9dfdc5a1a72e8adc7fcda0a7e1a943689b871facdb,Hezbollah confirms death of leader Hassan Nasrallah after Israeli strikes on Beirut,O,None,Directly,Israel,None,VE,ES,WC,War,Relevant
458,51c46be1648bf7e0a50725cf4b41d87ad4d8104ce407489f71a94998ca9ac170,Israeli military says 90 people killed in Gaza’s al-Shifa Hospital raid,O,Directly,Directly,Israel,Palestine,VE,ES,WC,War,Relevant
317,964bcbe0368c318b46b33269b5846d945cc78cbb320c8969d2d5027bc63c5bda,Hundreds of university students arrested in US as Gaza war protests spread,O,None,None,None,None,IE,PS,BC,None,Relevant
270,29126a9dc4d0fcf7a3dc235ae3f3a29cd0bcdc9ab7c79c55188d955c0c7ea023,Israeli airstrikes kill hundreds of people in Lebanon,O,None,Directly,Israel,None,VE,None,WC,War,Relevant
65,074daecb9c66489af21a6cc4efb7ae2c6791ecf68eceb42d49850e56583cb0d7,Gaza: Israel summons Irish ambassador over Hamas hostage row,O,None,None,None,None,IE,ES,WC,Unclear,Relevant
285,301912061d7874d9e48767843411ffda8654d404c4ad4a1619a4e446c367560f,Macron gambles on snap election,,None,None,None,None,None,ES,None,None,Irrelevant
382,29e1243962937f70ccf21ff7510f3c8634a6bd6b07c797334833e3af0e7989b9,‘A genocidal war’: Surgeon says Israel strategically destroying Gaza health,S,Indirectly,Directly,Israel,Palestine,IE,PS,BC,Peace,Relevant
342,94b4333cc97d3d18d04a211a9c63ccdb083d85e879a3946f058e897fac745f70,"World reacts to ICC prosecutor seeking Israel, Hamas arrest warrants",O,None,None,None,None,IE,ES,BC,Peace,Relevant
403,99c8d883679cb8eefd808b011f99a92891e302e523994cae135c9d59982ef26e,Families of Gaza captives reject talk of death penalty for Hamas detainees,O,Directly,Directly,Hamas,Palestine,IE,PS,WC,Peace,Relevant
844,2e92d005fd3e0e3b16faa9faa722c21d7914b6c8bea5a2d014fd9cefd0d12ab4,Houthis launch 2 new attacks on ships days after US strikes,O,None,None,None,None,VE,None,None,None,Irrelevant
236,ec8fbb84f53cb62c5c225614424fa75cb340a20950a2005aa210f0428711a94a,âExterminate the beastsâ: How Israeli settlers took revenge for a murder in the West Bank,S,Directly,Indirectly,Palestine,Israel,VE,PS,WC,War,Relevant
866,acb397b8cd823eb87c0d6039f4129783d2d0d91474751bdf199a050eff061255,IDF ops in Beirut bring closure for some; Hezbollah terrorists who killed Americans now dead,O,None,None,None,None,VE,None,BC,War,Relevant
230,7c11860ac4afe97239cb34a275c2808c3880790ac8dccf6556a1e6ac39095331,US ready to try a new Gaza ceasefire at the United Nations,O,None,None,None,None,IE,None,BC,Peace,Relevant
773,1323b5cf2e61d19c02e69f63dd8ad5ac103fe5c1b7026e8424a0c3277baaf1b7,"Bill Maher clashes with 'The View' co-host over Israel-Hamas war, 'woke'",O,None,None,None,None,None,PS,BC,Unclear,Relevant
